COUNTRY,FOOD
Afghanistan,Kabuli palaw
Albania,Tavë kosi
Algeria,Couscous
Andorra,Escudella i carn d'olla
Angola,Moamba de galinha
Argentina,Asado
Armenia,Harisa
Australia,Roast lamb
Austria,Wiener schnitzel
Azerbaijan,Dolma
Bahamas,Crack conch with peas and rice
Bahrain,Kabsa
Bangladesh,Rice and fish (particularly ilish)
Barbados,Cou-cou and flying fish
Belarus,Draniki
Belgium,Frites
Bhutan,Ema datshi
Bolivia,Salteñas
Bosnia and Herzegovina,Bosnian pot
Botswana,Seswaa
Brazil,Feijoada
Brunei,Ambuyat
Bulgaria,Shopska salad
Burundi,Boko Boko
Cambodia,Fish amok
Cameroon,Ndolé
Canada,Poutine
Chile,Empanada
China,Peking duck
Colombia,Ajiaco
Comoros,Langouste a la vanille (Vanilla Lobster)
Democratic Republic of the Congo,Poulet à la Moambé
Republic of the Congo,Poulet Moambé
Cornwall,Cornish pasty
Costa Rica,Casado Chifrijo (chicharrón or deep fried seasoned pork pieces) served with beans usually red or black beans (frijoles in spanish there comes the name Chifrijo; CHI from Chicharrón and FRIJO from frijoles) white rice and pico de gallo. Optionally it may be served with avocado and/or corn chips Gallo Pinto
Croatia,Zagorski štrukli
Cuba,Ropa vieja
Cyprus,Souvla
Czech Republic,Vepřo-knedlo-zelo (Roast pork with dumplings and sauerkraut)
Denmark,Stegt Flæsk
Dominica,Mountain chicken (historical) Callaloo
Dominican Republic,La bandera (rice beans and meat)
Ecuador,Encebollado
Egypt,Ful medames
El Salvador,Pupusa
Eritrea,Zigini with injera
Estonia,
Ethiopia,Doro wat with injera
Fiji,Fiji Kokoda (Fijian Ceviche)
Finland,rye bread
France,Pot-au-feu
Gabon,Poulet Nyembwe
The Gambia,Domoda
Georgia,Khachapuri
Germany,Schnitzel Schweinshaxe Bratwurst Sauerbraten
Greece,Horiatiki
Grenada,Oil down
Guyana,Pepperpot and Chicken curry
Haiti,Griot Soup joumou
Hungary,Gulyás
Honduras,Baleada
Iceland,Lamb
India,Due to its diverse culture India does not have a specific national dish. There were rumours that the government of India was planning on designating khichdi as a national dish but it was later denied by the government.
Indonesia,Nasi goreng
Iran,Abgoosht
Iraq,Masgouf
Ireland,Breakfast roll
Israel,Falafel (served in pita)
Italy,Pasta
Ivory Coast,Atcheke
Jamaica,Ackee and Saltfish Jerk chicken
Japan,Sushi
Jordan,Mansaf
Kazakhstan,Beshbarmak
Kenya,Ugali with sukuma wiki
"Korea, North",Raengmyŏn
"Korea, South",Kimchi
Kosovo,Flia
Kyrgyzstan,Beshbarmak
Laos,Larb/Laap
Latvia,Layered rye bread
Lebanon,Kibbeh
Lithuania,Cepelinai
Luxembourg,Judd mat Gaardebounen
Madagascar,Romazava
Malawi,Chambo with nshima
Malaysia,Nasi lemak
Malta,Stuffat tal-fenek
Mauritius,Dholl puri (flatbread stuffed with lentils)
Mexico,Taco
Monaco,Barbagiuan
Montenegro,Njeguški pršut
Morocco,Couscous
Myanmar,Mohinga
Nepal,Dal bhat
Netherlands,Stamppot
New Zealand,Meat pie
Nicaragua,Gallo Pinto Nacatamal
Niger,Dambou
Nigeria,Tuwo shinkafa
North Macedonia,Tavče Gravče
Norway,Fårikål
Oman,Shuwa
Pakistan,Biryani Nihari
Palestine,Maqluba
Panama,Sancocho
Peru,Ceviche
Philippines,Adobo
Poland,Bigos
Portugal,Bacalhau
Puerto Rico,Arroz con gandules Mofongo
Qatar,Machboos
Romania,Mămăligă
Russia,Borscht
Saudi Arabia,Kabsa
Senegal,Thieboudienne
Serbia,Ćevapčići
Singapore,Chilli crab
Slovakia,Bryndzové halušky
Slovenia,Buckwheat dumplings
Somalia,Bariis Iskukaris
South Africa,Bobotie
Spain,Tortilla de patatas
Catalonia,Pa amb tomaquet
Galicia,Polbo á feira
Valencia,Paella
Sri Lanka,Rice and curry
Suriname,Pom
Sweden,Köttbullar
Switzerland,Cervelat
Syria,Kibbeh
Taiwan,Beef noodle soup
Tajikistan,Osh Palov
Tanzania,Chipsi mayai
Thailand,Pad Thai Tom yum
Trinidad and Tobago,Callaloo
Tobago,Curry Crab and Dumplings
Tunisia,Kosksi
Turkey,Kuru fasulye with pilaf/pilau
Uganda,Matooke
Ukraine,Borscht
United Arab Emirates,Harees
United Kingdom,Fish and chips
England,Sunday roast
Northern Ireland,Ulster fry
Scotland,Haggis
Wales,Cawl
United States,There is no officially designated food but various authors have named dishes such as apple pie
American Samoa,Palusami
Guam,Kelaguen
Northern Mariana Islands,Kelaguen
Puerto Rico,Lechon
United States Virgin Islands,Funji
Uruguay,Chivito
Uzbekistan,O'sh
Vanuatu,Laplap
Venezuela,Pabellón criollo
Vietnam,Phở
Yemen,Saltah
Zambia,Nshima
Zimbabwe,Sadza
